epoch,train_loss,iou,dice,precision,recall,accuracy
1,0.268828,0.843098,0.914871,0.917424,0.912332,0.966623
2,0.164898,0.866323,0.928374,0.928215,0.928534,0.971835
3,0.150589,0.859111,0.924217,0.908684,0.94029,0.969687
4,0.143544,0.8737,0.932593,0.936123,0.929091,0.973598
5,0.126114,0.865807,0.928078,0.929126,0.927032,0.971755
6,0.124449,0.879818,0.936067,0.925166,0.947229,0.974564
7,0.122902,0.878461,0.935299,0.951733,0.919422,0.974994
8,0.127522,0.882357,0.937502,0.923265,0.952186,0.975043
9,0.119099,0.884285,0.93859,0.942344,0.934865,0.975952
10,0.118599,0.87712,0.934538,0.934761,0.934315,0.974269
11,0.108503,0.88397,0.938412,0.931034,0.945908,0.975593
12,0.112997,0.886244,0.939692,0.939072,0.940312,0.976273
13,0.106403,0.887288,0.940279,0.939191,0.941369,0.976493
14,0.103057,0.888848,0.941153,0.950042,0.932429,0.977078
15,0.105308,0.887045,0.940142,0.93631,0.944005,0.976369
16,0.108071,0.887444,0.940366,0.939532,0.9412,0.976533
17,0.09437,0.889253,0.941381,0.938011,0.944775,0.97687
18,0.105478,0.885969,0.939537,0.936934,0.942155,0.976162
19,0.096935,0.886853,0.940034,0.932249,0.947951,0.976225
20,0.090151,0.886041,0.939578,0.951098,0.928333,0.976529
21,0.091424,0.891757,0.942782,0.935627,0.950047,0.977331
22,0.095856,0.887043,0.940141,0.942544,0.93775,0.976526
23,0.089195,0.887789,0.94056,0.939381,0.941741,0.976601
24,0.089177,0.888762,0.941105,0.933805,0.94852,0.976662
25,0.084972,0.886585,0.939884,0.950031,0.929951,0.976614
26,0.087203,0.886513,0.939843,0.937575,0.942122,0.976291
27,0.088989,0.891825,0.942819,0.942542,0.943097,0.977512
28,0.081784,0.89031,0.941972,0.947155,0.936846,0.97731
29,0.082672,0.892219,0.94304,0.940625,0.945467,0.977548
30,0.078824,0.892449,0.943168,0.953218,0.933329,0.977889
31,0.091134,0.894862,0.944514,0.941919,0.947123,0.978125
32,0.079717,0.890844,0.942272,0.945174,0.939387,0.977373
33,0.07814,0.89526,0.944736,0.942985,0.946493,0.978232
34,0.073752,0.893638,0.943832,0.950975,0.936795,0.978082
35,0.07605,0.892848,0.943391,0.945712,0.941081,0.977798
36,0.074694,0.895059,0.944624,0.942791,0.946464,0.978186
37,0.07991,0.894724,0.944437,0.944051,0.944824,0.978146
38,0.073993,0.894314,0.944209,0.946036,0.942389,0.978107
39,0.06986,0.896505,0.945428,0.947415,0.94345,0.978589
40,0.071429,0.897537,0.946002,0.943351,0.948668,0.97871
41,0.07208,0.897778,0.946136,0.942955,0.949339,0.978751
42,0.070614,0.896181,0.945248,0.943666,0.946836,0.978438
43,0.070725,0.89618,0.945248,0.947318,0.943187,0.97852
44,0.068216,0.895862,0.945071,0.945182,0.94496,0.978407
45,0.071148,0.895305,0.944761,0.94617,0.943356,0.978314
46,0.068781,0.897789,0.946142,0.944461,0.947828,0.978787
47,0.066984,0.895202,0.944704,0.950873,0.938614,0.9784
48,0.065915,0.896956,0.945679,0.945703,0.945656,0.978644
49,0.06602,0.896315,0.945323,0.948866,0.941806,0.978583
50,0.066309,0.897073,0.945744,0.945739,0.945749,0.978669
