epoch,train_loss,iou,dice,precision,recall,accuracy,saved_model
1,0.267548,0.848495,0.918039,0.916706,0.919374,0.967729,Yes
2,0.166468,0.85496,0.92181,0.908099,0.935941,0.968787,Yes
3,0.160441,0.875772,0.933772,0.92338,0.944401,0.973665,Yes
4,0.145904,0.876316,0.934082,0.932457,0.935712,0.974038,Yes
5,0.131661,0.877215,0.934592,0.942793,0.926532,0.974506,Yes
6,0.134901,0.875822,0.933801,0.927216,0.940479,0.973787,No
7,0.135304,0.876941,0.934436,0.93024,0.938671,0.974106,No
8,0.13183,0.867552,0.929079,0.942518,0.916018,0.972509,No
9,0.122105,0.884203,0.938543,0.925792,0.95165,0.9755,Yes
10,0.116119,0.876522,0.934198,0.936795,0.931616,0.974201,No
11,0.115235,0.880749,0.936594,0.931871,0.941364,0.974944,No
12,0.119869,0.882214,0.937422,0.934049,0.940818,0.975307,No
13,0.114099,0.886247,0.939694,0.93385,0.94561,0.97614,Yes
14,0.109145,0.878752,0.935464,0.931024,0.939945,0.974505,No
15,0.110835,0.879849,0.936085,0.937294,0.934879,0.974903,No
16,0.103407,0.889284,0.941398,0.937109,0.945727,0.976854,Yes
17,0.108759,0.879742,0.936024,0.920284,0.952312,0.974409,No
18,0.100923,0.882026,0.937316,0.947664,0.927191,0.975621,No
19,0.108817,0.890575,0.942121,0.931645,0.952835,0.976985,Yes
20,0.097916,0.888425,0.940916,0.934536,0.947384,0.976611,No
21,0.101755,0.891691,0.942745,0.935306,0.950303,0.977309,Yes
22,0.09112,0.89138,0.942571,0.947378,0.937812,0.977535,No
23,0.099889,0.881234,0.936868,0.956298,0.918212,0.975673,No
24,0.101031,0.890996,0.942356,0.941967,0.942746,0.977327,No
25,0.098674,0.887441,0.940364,0.946894,0.933924,0.976714,No
26,0.085565,0.893836,0.943942,0.939102,0.948833,0.977846,Yes
27,0.095875,0.88997,0.941782,0.949116,0.93456,0.977286,No
28,0.089135,0.884316,0.938607,0.94804,0.92936,0.9761,No
29,0.091508,0.89219,0.943024,0.948967,0.937155,0.977739,No
30,0.087295,0.893859,0.943955,0.940836,0.947095,0.977892,Yes
31,0.093654,0.891647,0.94272,0.947181,0.938301,0.977585,No
32,0.089568,0.894338,0.944222,0.944552,0.943893,0.978078,Yes
33,0.087546,0.891587,0.942687,0.940647,0.944736,0.977418,No
34,0.081151,0.893921,0.94399,0.946416,0.941577,0.978035,No
35,0.08328,0.891328,0.942542,0.94934,0.935841,0.97757,No
36,0.082753,0.890939,0.942324,0.952823,0.932054,0.977571,No
37,0.080773,0.895476,0.944856,0.948441,0.941298,0.978401,Yes
38,0.081793,0.89417,0.944129,0.940499,0.947786,0.977948,No
39,0.077385,0.892478,0.943184,0.948042,0.938376,0.977776,No
40,0.075024,0.894967,0.944572,0.949147,0.940042,0.978313,No
41,0.077095,0.895252,0.944732,0.949853,0.939665,0.978387,No
42,0.074877,0.895836,0.945056,0.94997,0.940193,0.978509,Yes
43,0.07753,0.894808,0.944484,0.948826,0.940182,0.978273,No
44,0.077999,0.893984,0.944025,0.951921,0.936259,0.978174,No
45,0.073883,0.896266,0.945296,0.947307,0.943293,0.978538,Yes
46,0.07341,0.897631,0.946054,0.947971,0.944146,0.978833,Yes
47,0.073789,0.895872,0.945077,0.947862,0.942307,0.978469,No
48,0.07371,0.895027,0.944606,0.95055,0.938736,0.978357,No
49,0.073181,0.895454,0.944844,0.949147,0.94058,0.978413,No
50,0.074133,0.895525,0.944883,0.948142,0.941647,0.978404,No
