epoch,train_loss,iou,dice,precision,recall,accuracy,saved_model
1,0.226012,0.775737,0.873707,0.81141,0.946366,0.946217,Yes
2,0.13809,0.825688,0.904523,0.874839,0.936291,0.961144,Yes
3,0.113707,0.838394,0.912094,0.950071,0.877036,0.966767,Yes
4,0.099615,0.867313,0.928942,0.925582,0.932327,0.971961,Yes
5,0.09231,0.860394,0.924959,0.913606,0.936598,0.970126,No
6,0.088878,0.871519,0.931349,0.93266,0.930042,0.973047,Yes
7,0.088662,0.864763,0.927478,0.909841,0.945812,0.970923,No
8,0.085183,0.873056,0.932226,0.91233,0.953009,0.97276,Yes
9,0.083489,0.865756,0.928049,0.956198,0.90151,0.97252,No
10,0.077423,0.878272,0.935192,0.926192,0.944369,0.97427,Yes
11,0.073661,0.874106,0.932825,0.941025,0.924766,0.973817,No
12,0.071833,0.871578,0.931383,0.951782,0.91184,0.973589,No
13,0.075187,0.878768,0.935473,0.928848,0.942192,0.974448,Yes
14,0.073666,0.879252,0.935747,0.936763,0.934733,0.974766,Yes
15,0.070696,0.878884,0.935538,0.939779,0.931336,0.97477,No
16,0.069499,0.881896,0.937242,0.941922,0.932609,0.975448,Yes
17,0.070801,0.883215,0.937987,0.941578,0.934422,0.975711,Yes
18,0.067212,0.883138,0.937943,0.935604,0.940295,0.97554,No
19,0.06597,0.882484,0.937574,0.928276,0.94706,0.975208,No
20,0.067504,0.879709,0.936005,0.945027,0.927154,0.975078,No
21,0.066056,0.875864,0.933825,0.94476,0.92314,0.97428,No
22,0.065313,0.882565,0.937619,0.948032,0.927434,0.975741,No
23,0.062641,0.88197,0.937284,0.932411,0.942208,0.975213,No
24,0.063451,0.885342,0.939185,0.939126,0.939244,0.976088,Yes
25,0.062756,0.884851,0.938908,0.936795,0.94103,0.975927,No
26,0.057743,0.885143,0.939072,0.952443,0.926072,0.976377,No
27,0.061206,0.887728,0.940525,0.934312,0.946822,0.97646,Yes
28,0.056417,0.887613,0.940461,0.942563,0.938368,0.976644,No
29,0.055809,0.886379,0.939768,0.942426,0.937124,0.976386,No
30,0.054995,0.886812,0.940011,0.95,0.93023,0.97666,No
31,0.05683,0.886886,0.940053,0.938841,0.941268,0.976401,No
32,0.056913,0.889285,0.941398,0.941701,0.941096,0.976967,Yes
33,0.056737,0.884952,0.938965,0.948669,0.929457,0.976246,No
34,0.054105,0.887691,0.940505,0.946347,0.934734,0.976752,No
35,0.053875,0.8887,0.941071,0.939845,0.942299,0.976801,No
36,0.052242,0.887565,0.940434,0.946411,0.934532,0.976728,No
37,0.052425,0.890517,0.942088,0.941602,0.942574,0.977219,Yes
38,0.053392,0.888277,0.940833,0.943847,0.937839,0.976812,No
39,0.053365,0.887933,0.94064,0.94038,0.940901,0.976656,No
40,0.051387,0.888327,0.940861,0.93873,0.943003,0.976696,No
41,0.053035,0.889237,0.941372,0.942939,0.939809,0.976988,No
42,0.050716,0.888916,0.941192,0.944357,0.938048,0.976956,No
43,0.052203,0.888728,0.941086,0.939933,0.942242,0.976809,No
44,0.050846,0.888425,0.940917,0.946806,0.9351,0.976914,No
45,0.052164,0.889283,0.941397,0.943992,0.938817,0.977023,No
46,0.049924,0.889274,0.941392,0.94497,0.937841,0.977045,No
47,0.04921,0.889603,0.941576,0.944228,0.93894,0.977094,No
48,0.048419,0.88794,0.940644,0.946446,0.934914,0.976806,No
49,0.049343,0.890005,0.941802,0.944713,0.938909,0.977189,No
50,0.04766,0.889691,0.941626,0.945154,0.938124,0.977135,No
